"","method","date","ret"
"1","SPY",2017-01-03,0.765000693582762
"2","SPY",2017-01-04,1.35992001642942
"3","SPY",2017-01-05,1.28047447034767
"4","SPY",2017-01-06,1.63825391571395
"5","SPY",2017-01-09,1.30816295607258
"6","SPY",2017-01-10,1.30816295607258
"7","SPY",2017-01-11,1.59077321602686
"8","SPY",2017-01-12,1.33977937127524
"9","SPY",2017-01-13,1.56933150484401
"10","SPY",2017-01-17,1.21698476455984
"11","SPY",2017-01-18,1.43797914846303
"12","SPY",2017-01-19,1.06752864332194
"13","SPY",2017-01-20,1.43493257252074
"14","SPY",2017-01-23,1.1747174919039
"15","SPY",2017-01-24,1.81589011847532
"16","SPY",2017-01-25,2.68144424260108
"17","SPY",2017-01-26,2.57689896488193
"18","SPY",2017-01-27,2.41991933972419
"19","SPY",2017-01-30,1.79975170150043
"20","SPY",2017-01-31,1.79096038018267
"21","SPY",2017-02-01,1.83051421039997
"22","SPY",2017-02-02,1.89641737334012
"23","SPY",2017-02-03,2.58570592522962
"24","SPY",2017-02-06,2.40693031925277
"25","SPY",2017-02-07,2.41130299259855
"26","SPY",2017-02-08,2.54234277749648
"27","SPY",2017-02-09,3.13560788510148
"28","SPY",2017-02-10,3.530225260306
"29","SPY",2017-02-13,4.07448247453222
"30","SPY",2017-02-14,4.47401563302508
"31","SPY",2017-02-15,4.99605266974776
"32","SPY",2017-02-16,4.9109188779945
"33","SPY",2017-02-17,5.06855123243147
"34","SPY",2017-02-21,5.66407179354095
"35","SPY",2017-02-22,5.57527029763854
"36","SPY",2017-02-23,5.64298829013075
"37","SPY",2017-02-24,5.76987142486898
"38","SPY",2017-02-27,5.92615919234638
"39","SPY",2017-02-28,5.65624218546805
"40","SPY",2017-03-01,7.05599586966132
"41","SPY",2017-03-02,6.42625457262513
"42","SPY",2017-03-03,6.48920572389493
"43","SPY",2017-03-06,6.19141552360276
"44","SPY",2017-03-07,5.89272912444275
"45","SPY",2017-03-08,5.70707431086424
"46","SPY",2017-03-09,5.83389308428838
"47","SPY",2017-03-10,6.184311993316
"48","SPY",2017-03-13,6.23479571867494
"49","SPY",2017-03-14,5.85213612960222
"50","SPY",2017-03-15,6.71748134607326
"51","SPY",2017-03-16,6.52078669848481
"52","SPY",2017-03-17,6.34516898020985
"53","SPY",2017-03-20,6.23548033274037
"54","SPY",2017-03-21,4.95153052970705
"55","SPY",2017-03-22,5.18684606875322
"56","SPY",2017-03-23,5.08013614854359
"57","SDS",2017-01-03,-1.52217074784909
"58","SDS",2017-01-04,-2.66464386612866
"59","SDS",2017-01-05,-2.59666290079894
"60","SDS",2017-01-06,-3.34394550949461
"61","SDS",2017-01-09,-2.72792908238989
"62","SDS",2017-01-10,-2.65990187150552
"63","SDS",2017-01-11,-3.13576862881348
"64","SDS",2017-01-12,-2.72593256323971
"65","SDS",2017-01-13,-3.13409582854583
"66","SDS",2017-01-17,-2.38272970832725
"67","SDS",2017-01-18,-2.85730597951369
"68","SDS",2017-01-19,-2.10798717842379
"69","SDS",2017-01-20,-2.71650644820066
"70","SDS",2017-01-23,-2.30834318289454
"71","SDS",2017-01-24,-3.52785537801649
"72","SDS",2017-01-25,-5.24253301862006
"73","SDS",2017-01-26,-5.10296567737792
"74","SDS",2017-01-27,-4.89390644392842
"75","SDS",2017-01-30,-3.71170894740547
"76","SDS",2017-01-31,-3.50552338039516
"77","SDS",2017-02-01,-3.5741104860193
"78","SDS",2017-02-02,-3.7113788456624
"79","SDS",2017-02-03,-5.15467781473457
"80","SDS",2017-02-06,-4.73626777289357
"81","SDS",2017-02-07,-4.80571221733801
"82","SDS",2017-02-08,-5.01419032713649
"83","SDS",2017-02-09,-6.19803433827857
"84","SDS",2017-02-10,-6.97322813672818
"85","SDS",2017-02-13,-8.10959177309182
"86","SDS",2017-02-14,-8.89982165814929
"87","SDS",2017-02-15,-9.84116850825792
"88","SDS",2017-02-16,-9.62187026264388
"89","SDS",2017-02-17,-9.98656756388385
"90","SDS",2017-02-21,-11.1578706385544
"91","SDS",2017-02-22,-11.0837965644804
"92","SDS",2017-02-23,-11.1578158094841
"93","SDS",2017-02-24,-11.3800380317063
"94","SDS",2017-02-27,-11.8254723301472
"95","SDS",2017-02-28,-11.2289026060607
"96","SDS",2017-03-01,-13.9716750300785
"97","SDS",2017-03-02,-12.8283823471517
"98","SDS",2017-03-03,-12.9037402974155
"99","SDS",2017-03-06,-12.2250072657413
"100","SDS",2017-03-07,-11.7006626964529
"101","SDS",2017-03-08,-11.253568806736
"102","SDS",2017-03-09,-11.4761207355194
"103","SDS",2017-03-10,-12.2196151593112
"104","SDS",2017-03-13,-12.2945215263524
"105","SDS",2017-03-14,-11.6198588576868
"106","SDS",2017-03-15,-13.2579824615587
"107","SDS",2017-03-16,-12.955181553156
"108","SDS",2017-03-17,-12.5778230625899
"109","SDS",2017-03-20,-12.2770711828907
"110","SDS",2017-03-21,-9.80330806444991
"111","SDS",2017-03-22,-10.1690725121456
"112","SDS",2017-03-23,-9.94880819496497
"113","NASDAQ_ETF",2017-01-03,1.18219749652295
"114","NASDAQ_ETF",2017-01-04,-1.63567191928461
"115","NASDAQ_ETF",2017-01-05,-3.68659129693667
"116","NASDAQ_ETF",2017-01-06,-6.358071441341
"117","NASDAQ_ETF",2017-01-09,-8.06430289534694
"118","NASDAQ_ETF",2017-01-10,-9.27185006515826
"119","NASDAQ_ETF",2017-01-11,-7.51478360220944
"120","NASDAQ_ETF",2017-01-12,-8.04030912773497
"121","NASDAQ_ETF",2017-01-13,-10.8327619579236
"122","NASDAQ_ETF",2017-01-17,-11.5256026045749
"123","NASDAQ_ETF",2017-01-18,-11.4480832247299
"124","NASDAQ_ETF",2017-01-19,-11.7579205601289
"125","NASDAQ_ETF",2017-01-20,-12.3795211817295
"126","NASDAQ_ETF",2017-01-23,-11.8322186015888
"127","NASDAQ_ETF",2017-01-24,-13.620710047934
"128","NASDAQ_ETF",2017-01-25,-17.4211851073164
"129","NASDAQ_ETF",2017-01-26,-17.5034896340654
"130","NASDAQ_ETF",2017-01-27,-18.3272128630604
"131","NASDAQ_ETF",2017-01-30,-15.3371796404691
"132","NASDAQ_ETF",2017-01-31,-15.1758893178884
"133","NASDAQ_ETF",2017-02-01,-16.8667105739271
"134","NASDAQ_ETF",2017-02-02,-18.9142126214291
"135","NASDAQ_ETF",2017-02-03,-18.579764460894
"136","NASDAQ_ETF",2017-02-06,-18.829764460894
"137","NASDAQ_ETF",2017-02-07,-19.7487285377528
"138","NASDAQ_ETF",2017-02-08,-20.2546307299957
"139","NASDAQ_ETF",2017-02-09,-21.3563256452499
"140","NASDAQ_ETF",2017-02-10,-21.3563256452499
"141","NASDAQ_ETF",2017-02-13,-22.7273624918652
"142","NASDAQ_ETF",2017-02-14,-22.4667195726645
"143","NASDAQ_ETF",2017-02-15,-24.6330973889556
"144","NASDAQ_ETF",2017-02-16,-26.1388546963073
"145","NASDAQ_ETF",2017-02-17,-25.8690705236454
"146","NASDAQ_ETF",2017-02-21,-25.135798296331
"147","NASDAQ_ETF",2017-02-22,-25.5907573500162
"148","NASDAQ_ETF",2017-02-23,-24.3110498545866
